Cameron Healthcare Partners - General Ledger
January 1 - December 31, 2025

Date,Account,Debit,Credit,Voucher Type,Voucher No,Against,Party,Remarks
2025-01-16,221302 - LT Loan Payable - Cameron One - CHP,,"1,800.00",Journal Entry,ACC-JV-2025-00246,420011 - TMS Clinical Solutions - CHP,,Note: Loan owed to cameron one for TMS Clinical Solutions payment. Originally booked on Cameron One 
2025-01-16,420011 - TMS Clinical Solutions - CHP,"1,800.00",,Journal Entry,ACC-JV-2025-00246,221302 - LT Loan Payable - Cameron One - CHP,,Note: Loan owed to cameron one for TMS Clinical Solutions payment. Originally booked on Cameron One 
2025-02-05,111006 - Mercury Checking (CHP-4128) - CHP,,261.30,Journal Entry,ACC-JV-2025-00345,420101 - Payroll Service Fees - CHP,,Note: PEOPLE CENTER
2025-02-05,420101 - Payroll Service Fees - CHP,261.30,,Journal Entry,ACC-JV-2025-00345,111006 - Mercury Checking (CHP-4128) - CHP,,Note: PEOPLE CENTER
2025-02-14,221302 - LT Loan Payable - Cameron One - CHP,,"1,875.00",Journal Entry,ACC-JV-2025-00253,420210 - Website - CHP,,Note: website expense - leo cook.
2025-02-14,420210 - Website - CHP,"1,875.00",,Journal Entry,ACC-JV-2025-00253,221302 - LT Loan Payable - Cameron One - CHP,,Note: website expense - leo cook.
2025-02-20,221302 - LT Loan Payable - Cameron One - CHP,,"8,556.50",Journal Entry,ACC-JV-2025-00248,420451 - Legal Fees - Wilson Sonsini - CHP,,Note: Legal fees for the MSO formation is a Cameron HCP expense. Individual legal fees for each part
2025-02-20,420451 - Legal Fees - Wilson Sonsini - CHP,"8,556.50",,Journal Entry,ACC-JV-2025-00248,221302 - LT Loan Payable - Cameron One - CHP,,Note: Legal fees for the MSO formation is a Cameron HCP expense. Individual legal fees for each part
2025-03-05,111006 - Mercury Checking (CHP-4128) - CHP,,420.75,Journal Entry,ACC-JV-2025-00344,420321 - Social Media - Meta - CHP,,Note: Facebook
2025-03-05,420321 - Social Media - Meta - CHP,420.75,,Journal Entry,ACC-JV-2025-00344,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Facebook
2025-03-10,111006 - Mercury Checking (CHP-4128) - CHP,100.00,,Journal Entry,ACC-JV-2025-00329-1,221302 - LT Loan Payable - Cameron One - CHP,,Note: Loan to CHP; initial funding of account
2025-03-10,221302 - LT Loan Payable - Cameron One - CHP,,100.00,Journal Entry,ACC-JV-2025-00329-1,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Loan to CHP; initial funding of account
2025-03-18,111006 - Mercury Checking (CHP-4128) - CHP,"2,500.00",,Journal Entry,ACC-JV-2025-00328,221302 - LT Loan Payable - Cameron One - CHP,,Note: Loan to CHP
2025-03-18,221302 - LT Loan Payable - Cameron One - CHP,,296.53,Journal Entry,ACC-JV-2025-00256,420321 - Social Media - Meta - CHP,,Note: See referencing intercompany journal entry. meta spend paid on jv's personal credit card. Paid
2025-03-18,221302 - LT Loan Payable - Cameron One - CHP,,"2,500.00",Journal Entry,ACC-JV-2025-00328,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Loan to CHP
2025-03-18,420321 - Social Media - Meta - CHP,296.53,,Journal Entry,ACC-JV-2025-00256,221302 - LT Loan Payable - Cameron One - CHP,,Note: See referencing intercompany journal entry. meta spend paid on jv's personal credit card. Paid
2025-03-19,111006 - Mercury Checking (CHP-4128) - CHP,,40.20,Journal Entry,ACC-JV-2025-00327,420321 - Social Media - Meta - CHP,,Note: FACEBK *3UXMEN8YE2
2025-03-19,420321 - Social Media - Meta - CHP,40.20,,Journal Entry,ACC-JV-2025-00327,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *3UXMEN8YE2
2025-03-21,111006 - Mercury Checking (CHP-4128) - CHP,,39.00,Journal Entry,ACC-JV-2025-00326,420321 - Social Media - Meta - CHP,,Note: FACEBK *SHND3MGYE2
2025-03-21,420321 - Social Media - Meta - CHP,39.00,,Journal Entry,ACC-JV-2025-00326,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *SHND3MGYE2
2025-03-22,111006 - Mercury Checking (CHP-4128) - CHP,,43.00,Journal Entry,ACC-JV-2025-00325,420321 - Social Media - Meta - CHP,,Note: FACEBK *PE4A3MYYE2
2025-03-22,420321 - Social Media - Meta - CHP,43.00,,Journal Entry,ACC-JV-2025-00325,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *PE4A3MYYE2
2025-03-23,111006 - Mercury Checking (CHP-4128) - CHP,,48.00,Journal Entry,ACC-JV-2025-00324,420321 - Social Media - Meta - CHP,,Note: FACEBK *BF876MGYE2
2025-03-23,420321 - Social Media - Meta - CHP,48.00,,Journal Entry,ACC-JV-2025-00324,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *BF876MGYE2
2025-03-24,111006 - Mercury Checking (CHP-4128) - CHP,,53.00,Journal Entry,ACC-JV-2025-00323,420321 - Social Media - Meta - CHP,,Note: FACEBK *T6NUZMQYE2
2025-03-24,420321 - Social Media - Meta - CHP,53.00,,Journal Entry,ACC-JV-2025-00323,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *T6NUZMQYE2
2025-03-25,111006 - Mercury Checking (CHP-4128) - CHP,,59.00,Journal Entry,ACC-JV-2025-00322,420321 - Social Media - Meta - CHP,,Note: FACEBK *3MU2CN4ZE2
2025-03-25,420321 - Social Media - Meta - CHP,59.00,,Journal Entry,ACC-JV-2025-00322,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *3MU2CN4ZE2
2025-03-26,111006 - Mercury Checking (CHP-4128) - CHP,,65.00,Journal Entry,ACC-JV-2025-00321,420321 - Social Media - Meta - CHP,,Note: FACEBK *EMJNTN8YE2
2025-03-26,420321 - Social Media - Meta - CHP,65.00,,Journal Entry,ACC-JV-2025-00321,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *EMJNTN8YE2
2025-03-28,111006 - Mercury Checking (CHP-4128) - CHP,,261.30,Journal Entry,ACC-JV-2025-00314,420101 - Payroll Service Fees - CHP,,Note: PEOPLE CENTER; BILL; SOON HYOUK LEE
2025-03-28,111006 - Mercury Checking (CHP-4128) - CHP,,0.43,Journal Entry,ACC-JV-2025-00315,420101 - Payroll Service Fees - CHP,,Note: PEOPLE CENTER; BVC; CAMERON HEALTHCARE PAR
2025-03-28,111006 - Mercury Checking (CHP-4128) - CHP,,0.42,Journal Entry,ACC-JV-2025-00316,420101 - Payroll Service Fees - CHP,,Note: PEOPLE CENTER; BVC; CAMERON HEALTHCARE PAR
2025-03-28,111006 - Mercury Checking (CHP-4128) - CHP,,17.66,Journal Entry,ACC-JV-2025-00317,420083 - Team Meals - CHP,,Note: CONNECTICUT MUFFIN
2025-03-28,111006 - Mercury Checking (CHP-4128) - CHP,,0.42,Journal Entry,ACC-JV-2025-00318,420101 - Payroll Service Fees - CHP,,Note: PEOPLE CENTER; BVC; SOON HYOUK LEE
2025-03-28,111006 - Mercury Checking (CHP-4128) - CHP,,0.43,Journal Entry,ACC-JV-2025-00319,420101 - Payroll Service Fees - CHP,,Note: PEOPLE CENTER; BVC; SOON HYOUK LEE
2025-03-28,111006 - Mercury Checking (CHP-4128) - CHP,,72.00,Journal Entry,ACC-JV-2025-00320,420321 - Social Media - Meta - CHP,,Note: FACEBK *S9CUEMYYE2
