Cameron Healthcare Partners - Trial Balance
January 1 - December 31, 2025

Account,Debit,Credit
100000 - Assets - CHP,"2,093,171.88","1,489,624.67"
  110000 - Current Assets - CHP,"2,082,722.14","1,489,519.23"
    111000 - Cash and Cash Equivalents - CHP,"723,622.14","618,719.23"
      111006 - Mercury Checking (CHP-4128) - CHP,"723,622.14","618,719.23"
    112000 - Accounts Receivable (A/R) - CHP,"726,100.00","437,800.00"
    116999 - MSO Consulting Services Receivable - CHP,"233,000.00","33,000.00"
    117000 - Subscription / Capital Contribution Receivable - CHP,"400,000.00","400,000.00"
  120000 - Non-Current Assets - CHP,"10,449.74",105.44
    121000 - Fixed Assets - CHP,849.74,105.44
      121300 - Long-term Office Equipment - CHP,849.74,105.44
        121301 - Computers & Tablets - CHP,849.74,
        121303 - Custom Software or App - CHP,,105.44
    123000 - Loans Receivable - CHP,"9,600.00",
      123002 - Loans Receivable - Integrative Mind - CHP,"9,600.00",
200000 - Liabilities - CHP,"684,653.40","715,925.53"
  210000 - Current Liabilities - CHP,"684,653.40","687,904.54"
    211700 - Payroll and Employee Liabilities - CHP,"166,451.44","169,702.58"
      211710 - Employer Contribution Liabilities - CHP,"8,000.00","9,000.02"
        211711 - Medical Deductions - Employer Contribution Liabilities - CHP,"8,000.00","9,000.02"
      211720 - Employee Deduction Liabilities - CHP,"9,245.48","11,496.60"
        211721 - Medical Deductions - Employee Deduction Liabilities - CHP,"7,070.12","8,712.05"
        211722 - Dental Deductions - Employee Deduction Liabilities - CHP,"2,175.36","2,784.55"
      211799 - Payroll Clearing Account - CHP,"149,205.96","149,205.96"
    212000 - Credit Card - CHP,"98,201.96","98,201.96"
      212005 - Mercury Credit Card (CHP) - CHP,"98,201.96","98,201.96"
    216000 - Loans Payable - ST - CHP,"420,000.00","420,000.00"
      210100 - Deferred Revenue - CHP,"420,000.00","420,000.00"
        210101 - Deferred MSO Fee Revenue - CHP,"420,000.00","420,000.00"
  220000 - Non-Current Liabilities - CHP,,"28,020.99"
    221300 - Loans Payable - LT - CHP,,"28,020.99"
      221302 - LT Loan Payable - Cameron One - CHP,,"28,020.99"
300000 - Income - CHP,"15,000.00","376,680.05"
  310000 - Operating Income - CHP,"15,000.00","375,000.00"
