Account,2025,2024,$ Change
"INCOME","","",""
"  Other Income","","",""
"    Credit Card Rewards","185.37","44.34","141.03"
"  Total Other Income","185.37","44.34","141.03"
"TOTAL INCOME","185.37","44.34","141.03"
"","","",""
"COST OF GOODS SOLD","","",""
"    Shipping and Freight","0.00","1.09","-1.09"
"  Total COGS","0.00","1.09","-1.09"
"","","",""
"OPERATING EXPENSES","","",""
"    Building & Property Rent","107.00","664.50","-557.50"
"    Consulting Expenses","","",""
"      IT Consulting","110.43","0.00","110.43"
"      Valuation Expenses","2000.00","0.00","2000.00"
"    Total Consulting Expenses","2110.43","0.00","2110.43"
"    Entertainment with Clients","0.00","144.20","-144.20"
"    Meals","","",""
"      Team Meals","1841.15","1366.63","474.52"
"    Total Meals","1841.15","1366.63","474.52"
"    Office Expenses","","",""
"      Postage","431.80","147.00","284.80"
"    Total Office Expenses","431.80","147.00","284.80"
"    General Business Expenses","","",""
"      Software & Apps","1088.68","421.73","666.95"
"      Competitive Intelligence","0.00","71.10","-71.10"
"      Gov't & Related Filing Fees","1431.00","749.00","682.00"
"    Total General Business Expenses","2519.68","1241.83","1277.85"
"    Legal & Accounting Services","","",""
"      Professional Fees (Guidant)","745.00","4495.00","-3750.00"
"      Legal Fees - Neil Belloff","7903.00","0.00","7903.00"
"      Legal Fees - Anita Lee","195.00","0.00","195.00"
"    Total Legal & Accounting Services","8843.00","4495.00","4348.00"
"    Taxes","","",""
"      Tax Filing Fees","411.48","0.00","411.48"
"      State & Local Tax Payments","50.00","0.00","50.00"
"    Total Taxes","461.48","0.00","461.48"
"    Travel","","",""
"      Local Transportation","284.40","781.04","-496.64"
"      Taxis or Shared Rides","69.49","0.00","69.49"
"    Total Travel","353.89","781.04","-427.15"
"    Vehicle Expenses","","",""
"      Parking & Tolls","194.19","83.50","110.69"
"    Total Vehicle Expenses","194.19","83.50","110.69"
"  Total Operating Expenses","16862.62","8923.70","7938.92"
"TOTAL EXPENSES","16862.62","8924.79","7937.83"
"","","",""
"NET INCOME (LOSS)","-16677.25","-8880.45","-7796.80"
