Posting Date,Account,Debit,Credit,Voucher Type,Voucher No,Against,Remarks
"2025-03-19","215002 - Due/From Owner Short Term (Jonathan Venuto) - CO",0.00,32114.00,"Journal Entry","ACC-JV-2025-00001","112997 - Shareholder Advance Clearing Acct - CO","Note: Shareholder loan / advance to Cameron One formalizing and consolidating advances that have been made to date. Proceeds to fund both its own activities and subsidiary CHP."
"2025-03-19","112997 - Shareholder Advance Clearing Acct - CO",32114.00,0.00,"Journal Entry","ACC-JV-2025-00001","215002 - Due/From Owner Short Term (Jonathan Venuto) - CO","Note: Shareholder loan / advance to Cameron One formalizing and consolidating advances that have been made to date. Proceeds to fund both its own activities and subsidiary CHP."
"2025-01-30","212004 - Mercury Credit Card (CP) - CO",0.00,443.00,"Expense Claim","HR-EXP-2025-00010","420002 - Building & Property Rent - CO,420083 - Team Meals - CO,434003 - Local Transportation - CO,434003 - Local Transportation - CO,434003 - Local Transportation - CO,450001 - Parking & Tolls - CO,434003 - Local Transportation - CO,420002 - Building & Property Rent - CO,450001 - Parking & Tolls - CO,434003 - Local Transportation - CO,434003 - Local Transportation - CO,434003 - Local Transportation - CO,434003 - Local Transportation - CO,420214 - Software & Apps - CO,420214 - Software & Apps - CO,420083 - Team Meals - CO,420083 - Team Meals - CO,434003 - Local Transportation - CO,434003 - Local Transportation - CO,434003 - Local Transportation - CO,434003 - Local Transportation - CO,420214 - Software & Apps - CO,420092 - Postage - CO,420083 - Team Meals - CO",""
"2025-01-30","420002 - Building & Property Rent - CO",68.00,0.00,"Expense Claim","HR-EXP-2025-00010","HR-EMP-00001",""
"2025-01-30","420083 - Team Meals - CO",115.49,0.00,"Expense Claim","HR-EXP-2025-00010","HR-EMP-00001",""
"2025-01-30","434003 - Local Transportation - CO",181.54,0.00,"Expense Claim","HR-EXP-2025-00010","HR-EMP-00001",""
"2025-01-30","450001 - Parking & Tolls - CO",7.30,0.00,"Expense Claim","HR-EXP-2025-00010","HR-EMP-00001",""
"2025-01-30","434003 - Local Transportation - CO",2.90,0.00,"Expense Claim","HR-EXP-2025-00010","HR-EMP-00001",""
"2025-01-30","420214 - Software & Apps - CO",25.95,0.00,"Expense Claim","HR-EXP-2025-00010","HR-EMP-00001",""
"2025-01-30","420214 - Software & Apps - CO",17.32,0.00,"Expense Claim","HR-EXP-2025-00010","HR-EMP-00001",""
"2025-01-30","420092 - Postage - CO",24.50,0.00,"Expense Claim","HR-EXP-2025-00010","HR-EMP-00001",""
"2025-01-30","111008 - Mercury Credit (Clearing) - CO",0.00,443.00,"Expense Claim","HR-EXP-2025-00010","HR-EMP-00001",""
"2025-01-30","212004 - Mercury Credit Card (CP) - CO",443.00,0.00,"Expense Claim","HR-EXP-2025-00010","111008 - Mercury Credit (Clearing) - CO",""
"2025-01-30","212004 - Mercury Credit Card (CP) - CO",0.00,116.43,"Expense Claim","HR-EXP-2025-00011","420214 - Software & Apps - CO,420216 - Gov't & Related Filing Fees - CO",""
"2025-01-30","420214 - Software & Apps - CO",26.43,0.00,"Expense Claim","HR-EXP-2025-00011","HR-EMP-00002",""
"2025-01-30","420216 - Gov't & Related Filing Fees - CO",90.00,0.00,"Expense Claim","HR-EXP-2025-00011","HR-EMP-00002",""
"2025-01-30","111008 - Mercury Credit (Clearing) - CO",0.00,116.43,"Expense Claim","HR-EXP-2025-00011","HR-EMP-00002",""
"2025-01-30","212004 - Mercury Credit Card (CP) - CO",116.43,0.00,"Expense Claim","HR-EXP-2025-00011","111008 - Mercury Credit (Clearing) - CO",""
"2025-04-15","432002 - Tax Filing Fees - CO",17.96,0.00,"Journal Entry","ACC-JV-2025-00041","Mercury Bank",""
"2025-04-15","212004 - Mercury Credit Card (CP) - CO",0.00,17.96,"Journal Entry","ACC-JV-2025-00041","432002 - Tax Filing Fees - CO",""
"2025-04-16","212004 - Mercury Credit Card (CP) - CO",17.96,0.00,"Journal Entry","ACC-JV-2025-00040","111004 - Mercury Checking (CP-0942) - CO",""
