Account,Opening (Dr),Opening (Cr),Debit,Credit,Closing (Dr),Closing (Cr)
"111001 - Cash",493.70,493.70,0.00,0.00,493.70,493.70
"111004 - Mercury Checking (CP-0942)",3094.34,2962.41,444803.51,444588.09,447897.85,447550.50
"111008 - Mercury Credit (Clearing)",1737.49,1737.49,107.05,107.05,1844.54,1844.54
"117000 - Subscription / Capital Contribution Receivable",0.00,0.00,400000.00,400000.00,400000.00,400000.00
"123001 - Intercompany Loans Receivable - CHP",0.00,0.00,28020.99,0.00,28020.99,0.00
"124001 - Investment in CHP",0.00,0.00,400000.00,0.00,400000.00,0.00
"212004 - Mercury Credit Card (CP)",5193.60,5193.60,12525.36,12592.49,17718.96,17786.09
"215001 - Due/From Owner Short Term (Soon Lee)",0.00,0.00,0.00,15000.00,0.00,15000.00
"215002 - Due/From Owner Short Term (Jonathan Venuto)",100.00,9012.38,15000.00,44846.53,15100.00,53858.91
"218000 - Subscription / Equity Commitment Payable",0.00,0.00,400000.00,400000.00,400000.00,400000.00
"321001 - Credit Card Rewards",0.00,0.00,1.01,186.38,1.01,186.38
"420002 - Building & Property Rent",0.00,0.00,107.00,0.00,107.00,0.00
"420011 - TMS Clinical Solutions",0.00,0.00,1800.00,1800.00,1800.00,1800.00
"420012 - IT Consulting",0.00,0.00,110.43,0.00,110.43,0.00
"420013 - Valuation Expenses",0.00,0.00,2000.00,0.00,2000.00,0.00
"420083 - Team Meals",0.00,0.00,1841.15,0.00,1841.15,0.00
"420092 - Postage",0.00,0.00,431.80,0.00,431.80,0.00
"420210 - Website",0.00,0.00,1875.00,1875.00,1875.00,1875.00
"420214 - Software & Apps",0.00,0.00,1088.68,0.00,1088.68,0.00
"420216 - Gov't & Related Filing Fees",0.00,0.00,1431.00,0.00,1431.00,0.00
"420221 - Indeed Expense",0.00,0.00,1677.14,1677.14,1677.14,1677.14
"420410 - Professional Fees (Guidant)",0.00,0.00,745.00,0.00,745.00,0.00
"420451 - Legal Fees - Wilson Sonsini",0.00,0.00,8556.50,8556.50,8556.50,8556.50
"420452 - Legal Fees - Neil Belloff",0.00,0.00,7903.00,0.00,7903.00,0.00
"420455 - Legal Fees - Anita Lee",0.00,0.00,195.00,0.00,195.00,0.00
"432002 - Tax Filing Fees",0.00,0.00,411.48,0.00,411.48,0.00
"432003 - State & Local Tax Payments",0.00,0.00,50.00,0.00,50.00,0.00
"434003 - Local Transportation",0.00,0.00,284.40,0.00,284.40,0.00
"434004 - Taxis or Shared Rides",0.00,0.00,69.49,0.00,69.49,0.00
"450001 - Parking & Tolls",0.00,0.00,194.19,0.00,194.19,0.00
"510005 - Lee - Equity Investment",0.00,50.00,0.00,0.00,0.00,50.00
"510006 - Venuto - Equity Investment",0.00,50.00,0.00,0.00,0.00,50.00
"510007 - Cameron One 401K Plan - Equity Investment",0.00,0.00,0.00,400000.00,0.00,400000.00
"TOTAL",10619.13,19499.58,1731229.18,1731229.18,1741848.31,1750728.76
