Integrative Medicine Psychiatry PC - Comparative Income Statement (Accrual)
January 1 - December 31 2025 vs 2024

Account,2025,2024,$ Change
INCOME,,,
"Patient Fees","524,756.55","323,122.08","201,634.47"
"Patient Fees - Returned",-11.09,-507.30,496.21
Total Income,"524,745.46","322,614.78","202,130.68"
,,,
COST OF GOODS SOLD,,,
"Insurance Expense (Malpractice)","5,231.68",0.00,"5,231.68"
"Contract Labor",280.00,"2,023.00","-1,743.00"
"Provider Wages","154,876.31",0.00,"154,876.31"
"Payroll Tax - Providers","13,024.64",0.00,"13,024.64"
"Provider - Other Costs","1,273.38",0.00,"1,273.38"
"Other COGS",175.00,0.00,175.00
Total COGS,"174,861.01","2,023.00","172,838.01"
,,,
GROSS PROFIT,"349,884.45","320,591.78","29,292.67"
,,,
EXPENSES,,,
"Management Services Fee (to MSO)","360,000.00",0.00,"360,000.00"
"Wages","211,533.33","251,733.26","-40,199.93"
"Payroll Taxes","20,963.39","24,020.13","-3,056.74"
"Payroll Service Fees","4,116.16","4,550.00",-433.84
"Other Payroll",226.27,0.00,226.27
"EHR Software","18,944.63","16,764.36","2,180.27"
"Advertising & Marketing","10,921.85","1,735.44","9,186.41"
"Business Licenses",416.50,270.00,146.50
"Bank Fees",30.00,1.64,28.36
"Merchant Credit Card Fees","7,418.49","5,780.34","1,638.15"
"Memberships & Subscriptions",117.59,0.00,117.59
"QuickBooks","2,452.30","1,195.48","1,256.82"
"Website",312.00,0.00,312.00
"Credit Card Annual Fee",95.00,95.00,0.00
"Workers Comp Insurance",748.51,"1,592.48",-843.97
"Gift Expense",0.00,300.00,-300.00
"Credit Card Interest",0.00,255.83,-255.83
"Accounting Fees","2,500.00","3,375.83",-875.83
"Office Supplies",622.98,551.08,71.90
"Postage",0.00,63.15,-63.15
"Software & Apps","1,514.66",966.65,548.01
"Commissions & Fees",800.00,0.00,800.00
"Reimbursable Expenses","1,286.99",0.00,"1,286.99"
"Rent or Lease of Buildings","6,281.38","6,152.55",128.83
"Repairs & Maintenance",127.00,0.00,127.00
"Taxes Paid",350.02,156.88,193.14
"Test Deposit/Credit",90.00,0.00,90.00
"Local Transportation",34.15,41.40,-7.25
"Phone Service","1,414.98",0.00,"1,414.98"
Total Expenses,"653,318.18","319,601.50","333,716.68"
,,,
NET OPERATING INCOME,"-303,433.73",990.28,"-304,424.01"
,,,
OTHER INCOME,,,
"Gain on Debt Forgiveness","105,040.00",0.00,"105,040.00"
"Interest Earned",0.05,0.31,-0.26
Total Other Income,"105,040.05",0.31,"105,039.74"
,,,
NET INCOME,"-198,393.68",990.59,"-199,384.27"
