Integrative Medicine Psychiatry PC - Trial Balance (Accrual)
January 1 - December 31, 2025

Account,Debit,Credit
"202577643704 Mercury Checking",925.00,
"CHASE BUS TOTAL SAV (2561)",62.24,
"PERFBUS CHK (9682)","12,732.82",
"Prepaid Insurance (Malpractice)","2,615.82",
"Accounts Payable (A/P)",,"350,000.00"
"A/P: MSO Fee Payable","52,100.00",
"Chase CC - B. Lewis (6311)","24,880.40",
"Chase CC - V. Quesnelle (3774)",,"29,372.57"
"Other Employee Deductions Payable",,154.37
"Due to/from Mind Body Psychiatry PC",37.50,
"Due/From Owner",,0.00
"Opening Balance Equity",,"3,000.06"
"Retained Earnings","90,779.54",
"Patient Fees",,"524,756.55"
"Patient Fees - Returned",11.09,
"Cost of Goods Sold",175.00,
"COGS: Insurance Expense (Malpractice)","5,231.68",
"COGS: Contract Labor",280.00,
"COGS: Payroll Tax - Providers","13,024.64",
"COGS: Provider - Other Costs","1,273.38",
"COGS: Provider Wages","154,876.31",
"EHR Software","18,944.63",
"Management Services Fee (to MSO)","360,000.00",
"Advertising & Marketing","10,921.85",
"Business Licenses",416.50,
"Commissions & Fees",800.00,
"Bank Fees",30.00,
"Merchant Credit Card Fees","7,418.49",
"Memberships & Subscriptions",117.59,
"QuickBooks","2,452.30",
"Website",312.00,
"Credit Card Annual Fee",95.00,
"Workers Comp Insurance",748.51,
"Accounting Fees","2,500.00",
"Office Supplies",622.98,
"Software & Apps","1,514.66",
"Payroll Expenses",226.27,
"Payroll Service Fees","4,116.16",
"Payroll Taxes","20,963.39",
"Wages","211,533.33",
"Reimbursable Expenses","1,286.99",
"Rent or Lease of Buildings","6,281.38",
"Repairs & Maintenance",127.00,
"Taxes Paid",350.02,
"Test Deposit/Credit",90.00,
"Local Transportation",34.15,
"Phone Service","1,414.98",
"Gain on Debt Forgiveness",,"105,040.00"
"Interest Earned",,0.05
,,,
TOTAL,"1,012,323.60","1,012,323.60"
